35791,"University of Jammu, Jammu Tawi (Id: U-0195)",Taawish College of Education (Id: C-22951),Affiliated College,Jammu and Kashmir,Jammu
35792,"University of Jammu, Jammu Tawi (Id: U-0195)",Tagore College of Education (Id: C-23028),Affiliated College,Jammu and Kashmir,Jammu
35793,"University of Jammu, Jammu Tawi (Id: U-0195)",Tariq College of Education (Id: C-22883),Affiliated College,Jammu and Kashmir,Rajouri
35794,"University of Jammu, Jammu Tawi (Id: U-0195)",Thakur Anant Singh college of Education (Id: C-22938),Affiliated College,Jammu and Kashmir,Jammu
35795,"University of Jammu, Jammu Tawi (Id: U-0195)",Thakur Baldev Singh Institute of Sciences & Technology (Id: C-22978),Affiliated College,Jammu and Kashmir,Jammu
35796,"University of Jammu, Jammu Tawi (Id: U-0195)",Thakur Dharma Singh College of Education (Id: C-22874),Affiliated College,Jammu and Kashmir,Kathua
35797,"University of Jammu, Jammu Tawi (Id: U-0195)",Trikuta College of Education (Id: C-22903),Affiliated College,Jammu and Kashmir,Jammu
35798,"University of Jammu, Jammu Tawi (Id: U-0195)",Trikuta Degree College (Id: C-23019),Affiliated College,Jammu and Kashmir,Jammu
35799,"University of Jammu, Jammu Tawi (Id: U-0195)",Udhampur (Id: C-22987),PG Center / Off-Campus Center,Jammu and Kashmir,Udhampur
35800,"University of Jammu, Jammu Tawi (Id: U-0195)",Vaishno Devi (Id: C-22975),Affiliated College,Jammu and Kashmir,Jammu
35801,"University of Jammu, Jammu Tawi (Id: U-0195)",Vaishno Devi College of Education (Id: C-22971),Affiliated College,Jammu and Kashmir,Reasi
35802,"University of Jammu, Jammu Tawi (Id: U-0195)",Vedic Oriental College (Id: C-23022),Affiliated College,Jammu and Kashmir,Jammu
35803,"University of Jammu, Jammu Tawi (Id: U-0195)",Vimal Muni College of Education (Id: C-22864),Affiliated College,Jammu and Kashmir,Samba
35804,"University of Jammu, Jammu Tawi (Id: U-0195)",Vivekananda College of Education (Id: C-22991),Affiliated College,Jammu and Kashmir,Kathua
35805,"University of Jammu, Jammu Tawi (Id: U-0195)","YOGANANDA COLLEGE OF ENGINEERING AND TECHNOLOGY, PURKHOO ,JAMMU (Id: C-48769)",Affiliated College,Jammu and Kashmir,Jammu
35806,"University of Kashmir, Srinagar (Id: U-0196)","ADNAN COLLEGE OF EDUCATION, SRINAGAR (Id: C-45999)",Affiliated College,Jammu and Kashmir,Srinagar
35807,"University of Kashmir, Srinagar (Id: U-0196)","AL-AHAD COLLEGE OF EDUCATION, ANANTNAG (Id: C-45949)",Affiliated College,Jammu and Kashmir,Anantnag
35808,"University of Kashmir, Srinagar (Id: U-0196)","ALAMDAR COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45959)",Affiliated College,Jammu and Kashmir,Baramula
35809,"University of Kashmir, Srinagar (Id: U-0196)","AL-HUDA COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45960)",Affiliated College,Jammu and Kashmir,Baramula
35810,"University of Kashmir, Srinagar (Id: U-0196)","AL-NOOR COLLEGE OF EDUCATION, BANDIPORE (Id: C-45953)",Affiliated College,Jammu and Kashmir,Bandipore
35811,"University of Kashmir, Srinagar (Id: U-0196)","ANJUMAN NUSRAT-UL-ISLA, RAJOURI KADAL (Id: C-46520)",Affiliated College,Jammu and Kashmir,Srinagar
35812,"University of Kashmir, Srinagar (Id: U-0196)","ANJUMAN SHARIYA SHIYAN, BUDGAM (Id: C-46517)",Affiliated College,Jammu and Kashmir,budgam
